target,init,shots,n_bits,noise,probability,time_sampling,l2_error,fro_norm,fidelity
cudaq-cpu,ghz,8192,5,Bit Flip,0.9,0.0069762359999003,0.0459201842389747,1.0264926162423087,0.2500000000000002
cudaq-cpu,ghz,8192,6,Bit Flip,0.9,0.0313228849990991,0.0248742038081813,1.0170347773641606,0.25
cudaq-cpu,ghz,8192,7,Bit Flip,0.9,0.1083921099998406,0.0174965555343446,1.0109353256048186,0.2500000000000011
cudaq-cpu,ghz,8192,8,Bit Flip,0.9,0.4729474529958679,0.0136707850430484,1.0070122883249633,0.2500000000000032
cudaq-cpu,ghz,8192,9,Bit Flip,0.9,2.394795055995928,0.0119479338898849,1.004493503834075,0.2500000000000075
cudaq-cpu,ghz,8192,10,Bit Flip,0.9,11.420453393999196,0.0114173271006737,1.0028781618362006,0.2500000000000303
cudaq-cpu,ghz,8192,11,Bit Flip,0.9,64.62716632899537,0.0109673229712969,1.0018429761680367,0.2500000000000364
cudaq-cpu,ghz,8192,3,Depol,1.0,0.0030910099958418,0.0105687796981998,0.9717373469616376,0.1007285153374107
cudaq-cpu,ghz,8192,4,Depol,1.0,0.004296910999983,0.011242404068802,1.0045863470840712,0.035740196420485
cudaq-cpu,ghz,8192,5,Depol,1.0,0.0097814870023285,0.0130072204638403,1.0102190998936655,0.0121186490896522
cudaq-cpu,ghz,8192,6,Depol,1.0,0.0472379810016718,0.0116549983030078,1.0083441324983595,0.0040572648734851
cudaq-cpu,ghz,8192,7,Depol,1.0,0.1932281650006189,0.0102582649776144,1.0055393881870665,0.0013539111891435
cudaq-cpu,ghz,8192,8,Depol,1.0,0.9321360870017088,0.0109360285177856,1.0033809409536425,0.0004514281403015
cudaq-cpu,ghz,8192,9,Depol,1.0,3.932680013000208,0.0107851038140193,1.0019798160389863,0.0001504864201688
cudaq-cpu,ghz,8192,10,Depol,1.0,19.87229351599672,0.0107505072540546,1.0011337834682406,5.01630046277964e-05
cudaq-cpu,ghz,8192,11,Depol,1.0,107.28556216900324,0.0111425524484804,1.0006411784064313,1.6721073594031424e-05
cudaq-cpu,ghz,8192,3,Amp Damp,1.0,0.0028211730023031,0.9354143466934852,1.224744871391589,0.2499999999999997
cudaq-cpu,ghz,8192,4,Amp Damp,1.0,0.0034115880043827,0.9682458365518544,1.3228756555322927,0.1249999999999998
cudaq-cpu,ghz,8192,5,Amp Damp,1.0,0.0074525480013107,0.9842509842514764,1.369306393762908,0.0624999999999999
cudaq-cpu,ghz,8192,6,Amp Damp,1.0,0.0218875450009363,0.9921567416492216,1.391941090707566,0.0312499999999999
cudaq-cpu,ghz,8192,7,Amp Damp,1.0,0.1105809500004397,0.9960860906568269,1.4031215200403009,0.0156249999999999
cudaq-cpu,ghz,8192,8,Amp Damp,1.0,0.4861199409933761,0.998044963916957,1.408678458698774,0.0078124999999999
cudaq-cpu,ghz,8192,9,Amp Damp,1.0,2.3073054980050074,0.9990229601966112,1.4114487238260296,0.0039062499999999
cudaq-cpu,ghz,8192,10,Amp Damp,1.0,11.558046122998348,0.9995115994824672,1.412831819419771,0.0019531249999999
cudaq-cpu,ghz,8192,11,Amp Damp,1.0,64.53297893499985,0.9997558295653994,1.4135228597665317,0.0009765624999999
cudaq-cpu,ghz,8192,3,Phase,1.0,0.0029315990032046,0.2522519727162858,1.414213562373095,7.590644365686141e-19
cudaq-cpu,ghz,8192,4,Phase,1.0,0.0036579049992724,0.1774328839654635,1.4142135623730925,2.238075008897721e-18
cudaq-cpu,ghz,8192,5,Phase,1.0,0.0067828109968104,0.1287149107439897,1.4142135623730878,-4.966794604207825e-18
cudaq-cpu,ghz,8192,6,Phase,1.0,0.0257411950005916,0.0897906602654108,1.4142135623731549,-1.5680720105553581e-18
cudaq-cpu,ghz,8192,7,Phase,1.0,0.1084163539999281,0.0648739112659746,1.4142135623731666,5.818681494660803e-19
cudaq-cpu,ghz,8192,8,Phase,1.0,0.5551402179989964,0.0448880275422309,1.4142135623737857,-6.132115650181352e-19
cudaq-cpu,ghz,8192,9,Phase,1.0,2.402680737002811,0.0332699271986187,1.414213562369605,-1.8005946196763378e-19
cudaq-cpu,ghz,8192,10,Phase,1.0,12.085261180000089,0.0247390479314324,1.4142135623607133,-6.405766416100183e-20
cudaq-cpu,ghz,8192,11,Phase,1.0,69.49618965199625,0.0186739651455823,1.4142135624022854,1.0813224778141527e-20
cudaq-cpu,ghz,8192,3,Bit Flip,1.0,0.1603915249943384,0.2545610640588576,1.224744871391589,0.25
cudaq-cpu,ghz,8192,4,Bit Flip,1.0,0.0040784640004858,0.1760133694209186,1.2247448713915876,0.2499999999999982
cudaq-cpu,ghz,8192,5,Bit Flip,1.0,0.0091549279968603,0.1242145657584392,1.224744871391581,0.2499999999999999
