n_bits,shots,sim_time_s,throughput,l2_error,backend,init,method
7,65536,0.026273080991813913,2494416.2437751214,0.0625008270089747,GPU,ghz,statevector
8,65536,0.02975729999889154,2202350.3477278254,0.04457389771988824,GPU,ghz,statevector
9,65536,0.029715679003857076,2205435.049675071,0.03156728899381994,GPU,ghz,statevector
10,65536,0.031958698004018515,2050646.7438617006,0.022568414457774733,GPU,ghz,statevector
11,65536,0.03574105000006966,1833633.8747706702,0.016088553441509442,GPU,ghz,statevector
12,65536,0.040494082000805065,1618409.3270393703,0.011792349168258866,GPU,ghz,statevector
13,65536,0.045616048999363557,1436687.337847133,0.00869997223912666,GPU,ghz,statevector
14,65536,0.05106004899425898,1283508.3649717737,0.006813113392766729,GPU,ghz,statevector
15,65536,0.058636575005948544,1117664.1881513633,0.005516975504957019,GPU,ghz,statevector
16,65536,0.06622147699818015,989648.7207888917,0.00478863492366899,GPU,ghz,statevector
17,65536,0.07682211700011976,853087.6596371047,0.004367480201670859,GPU,ghz,statevector
18,65536,0.09293596199131571,705173.7410984559,0.004148258334671335,GPU,ghz,statevector
19,65536,0.09987663599895313,656169.4769203772,0.0040254293529677935,GPU,ghz,statevector
20,65536,0.14331661599862855,457281.24086203054,0.003965465421750018,GPU,ghz,statevector
21,65536,0.16502159099036362,397135.91177185386,0.003934815388515073,GPU,ghz,statevector
22,65536,0.22725359999458306,288382.6702924053,0.003923615954498332,GPU,ghz,statevector
23,65536,0.3674980210053036,178330.21201236403,0.003914526278036178,GPU,ghz,statevector
24,65536,0.6677563039993402,98143.58862281105,0.003910598718415566,GPU,ghz,statevector
25,65536,1.3094863029982662,50047.106143795056,0.003907978152425103,GPU,ghz,statevector
26,65536,2.6233879270002944,24981.436914264126,0.003906786404973501,GPU,ghz,statevector
27,65536,5.387674911005888,12164.059837040968,0.003907143967376889,GPU,ghz,statevector
3,131072,0.0406049410084961,3227981.5397977,0.24947134459270265,GPU,ghz,statevector
4,131072,0.041701782000018284,3143079.1135002943,0.17718724713631237,GPU,ghz,statevector
5,131072,0.04722446799860336,2775510.3562813327,0.12485794707360616,GPU,ghz,statevector
6,131072,0.05409701001190115,2422906.5519732907,0.08844011779304221,GPU,ghz,statevector
7,131072,0.048655439997673966,2693881.7120195823,0.06271697822004768,GPU,ghz,statevector
8,131072,0.05256880700471811,2493341.7261730162,0.04420630518313728,GPU,ghz,statevector
9,131072,0.05351712899573613,2449159.7822903185,0.03137138937422653,GPU,ghz,statevector
10,131072,0.06201890599913895,2113420.0593899507,0.02220863674503324,GPU,ghz,statevector
11,131072,0.06144620099803433,2133118.042630382,0.01593722629545838,GPU,ghz,statevector
12,131072,0.07906742699560709,1657724.3623633059,0.011393463041539063,GPU,ghz,statevector
13,131072,0.07657033299619798,1711785.6860634033,0.008297632124940902,GPU,ghz,statevector
14,131072,0.08915183499630075,1470210.9048617864,0.006156264297231541,GPU,ghz,statevector
15,131072,0.09893125799135305,1324879.5442534063,0.004789801697677859,GPU,ghz,statevector
16,131072,0.11537680700712372,1136034.2117277281,0.003887818482821126,GPU,ghz,statevector
17,131072,0.158390413998859,827524.8273607278,0.003380347010873704,GPU,ghz,statevector
18,131072,0.15217601000040304,861318.4167442217,0.0030941122160903943,GPU,ghz,statevector
19,131072,0.17551127800834365,746801.0118060274,0.0029250545426830203,GPU,ghz,statevector
20,131072,0.19777079399500508,662746.9979379785,0.0028505974599795526,GPU,ghz,statevector
21,131072,0.2459609770012321,532897.5417077783,0.0028034054221989626,GPU,ghz,statevector
22,131072,0.2956951870000921,443267.2757705697,0.0027851783703411125,GPU,ghz,statevector
23,131072,0.4480426669906592,292543.56706776004,0.0027729884307931578,GPU,ghz,statevector
24,131072,0.7582780200027628,172854.80594508388,0.002768324517802622,GPU,ghz,statevector
25,131072,1.3901036540046334,94289.37160362511,0.0027638844047755753,GPU,ghz,statevector
26,131072,2.7085340620105853,48392.22878471142,0.0027630418726629098,GPU,ghz,statevector
27,131072,5.498825235001277,23836.364022936537,0.002762852267529358,GPU,ghz,statevector
3,262144,0.08147051600099076,3217654.838430287,0.2503767786673957,GPU,ghz,statevector
4,262144,0.08547394500055816,3066946.3074190402,0.17719753525656406,GPU,ghz,statevector
5,262144,0.08710049399815034,3009672.941758136,0.12467539760134694,GPU,ghz,statevector
6,262144,0.09577206200629007,2737165.6671940824,0.08861079998359672,GPU,ghz,statevector
7,262144,0.09694352599035483,2704089.8019954567,0.06259995110764166,GPU,ghz,statevector
