n_bits,shots,sim_time_s,throughput,l2_error,backend,init,method
10,2048,0.00728313899890054,281197.4342806261,0.030997207515827886,CPU,ghz,statevector
11,2048,0.008552229002816603,239469.73348416056,0.026851029462631876,CPU,ghz,statevector
12,2048,0.010597161002806388,193259.30779551613,0.025012204052472065,CPU,ghz,statevector
13,2048,0.019356869990588166,105802.22944080282,0.023660237186690854,CPU,ghz,statevector
14,2048,0.018919624999398366,108247.3886276882,0.022651198251451565,CPU,ghz,statevector
15,2048,0.014815962000284344,138229.29621179478,0.022503356683208815,CPU,ghz,statevector
16,2048,0.02424220700049773,84480.75705144963,0.02231183527108567,CPU,ghz,statevector
17,2048,0.03278684699034784,62464.07288272987,0.022226184915509848,CPU,ghz,statevector
18,2048,0.04492925200611353,45582.775331343786,0.022075497178627567,CPU,ghz,statevector
19,2048,0.09368210300453939,21861.165946507026,0.022118655572082275,CPU,ghz,statevector
20,2048,0.2733787089964608,7491.439284053807,0.022129432018798165,CPU,ghz,statevector
21,2048,0.37579830100003164,5449.731929468802,0.02209708691207961,CPU,ghz,statevector
22,2048,0.7811498400114942,2621.7761242450806,0.022102481050305225,CPU,ghz,statevector
23,2048,2.20861414099636,927.2783153856367,0.022094389349118684,CPU,ghz,statevector
24,2048,3.6980913230072474,553.7991956171026,0.022095738171765716,CPU,ghz,statevector
25,2048,7.304719444000511,280.3666883718658,0.022096412552213365,CPU,ghz,statevector
26,2048,12.760972689997288,160.4893333566436,0.022096749734719045,CPU,ghz,statevector
27,2048,25.55167649500072,80.15129654606807,0.022096918324042453,CPU,ghz,statevector
3,4096,0.0023558690008940175,1738636.570388943,0.24592342234628303,CPU,ghz,statevector
4,4096,0.0025935750018106773,1579287.2761113213,0.18091495722673692,CPU,ghz,statevector
5,4096,0.0031557890033582225,1297932.1480749364,0.12496041624837557,CPU,ghz,statevector
6,4096,0.0046778040123172104,875624.5428869504,0.0906994743828227,CPU,ghz,statevector
7,4096,0.022149238007841632,184927.35499748876,0.06456123302062211,CPU,ghz,statevector
8,4096,0.013005889995838515,314934.2337441416,0.04581264838263615,CPU,ghz,statevector
9,4096,0.009623203004593961,425637.9085055814,0.03503226564076741,CPU,ghz,statevector
10,4096,0.009518856997601688,430303.7645204674,0.02636944796444755,CPU,ghz,statevector
11,4096,0.011411420986405574,358938.6461931047,0.021921054860092826,CPU,ghz,statevector
12,4096,0.020029519000672735,204498.17091775528,0.019558696535517315,CPU,ghz,statevector
13,4096,0.01663604901114013,246212.3066154207,0.017455627863007302,CPU,ghz,statevector
14,4096,0.02924940899538342,140037.01752218284,0.016658908309796855,CPU,ghz,statevector
15,4096,0.01738974600448273,235541.1056000549,0.0161834115421646,CPU,ghz,statevector
16,4096,0.020270253997296095,202069.49555473635,0.015930994239331496,CPU,ghz,statevector
17,4096,0.02703178000228945,151525.35273863171,0.015761730851141575,CPU,ghz,statevector
18,4096,0.038646772009087726,105985.56585882082,0.01572765957852188,CPU,ghz,statevector
19,4096,0.06528776099730749,62737.639297646034,0.01565168010236778,CPU,ghz,statevector
20,4096,0.13741621799999848,29807.253172984612,0.015647871444298894,CPU,ghz,statevector
21,4096,0.2656653890007874,15417.890962032166,0.015621184836959366,CPU,ghz,statevector
22,4096,0.6356563240115065,6443.733579414298,0.015625,CPU,ghz,statevector
23,4096,1.3668814639968332,2996.602198425517,0.01562881423171799,CPU,ghz,statevector
24,4096,3.49321800400503,1172.5577949340325,0.015626907232231698,CPU,ghz,statevector
25,4096,6.337801019995823,646.2809398838937,0.015624046296577987,CPU,ghz,statevector
26,4096,13.517548162999447,303.01353104934134,0.015624523155565617,CPU,ghz,statevector
27,4096,25.597255505999783,160.0171549266261,0.015624761579601881,CPU,ghz,statevector
3,8192,0.0034112810099031776,2401443.9080855767,0.25288390698965485,CPU,ghz,statevector
4,8192,0.004172191998804919,1963476.2739458089,0.17788497078160176,CPU,ghz,statevector
5,8192,0.004918731006910093,1665470.2175198128,0.12623770210120752,CPU,ghz,statevector
6,8192,0.005965424003079534,1373246.8967454853,0.08886785821347169,CPU,ghz,statevector
7,8192,0.007779609994031489,1053009.0848107934,0.06188760185996102,CPU,ghz,statevector
8,8192,0.01616265300253872,506847.4834368626,0.045819153181598724,CPU,ghz,statevector
9,8192,0.015621103011653759,524418.7938514041,0.03323945694320273,CPU,ghz,statevector
10,8192,0.013911012996686623,588885.9425227481,0.024224114592977814,CPU,ghz,statevector
11,8192,0.01573327399091795,520679.9299833487,0.01893310153353642,CPU,ghz,statevector
12,8192,0.018225289008114487,449485.32757711865,0.015716286073663165,CPU,ghz,statevector
13,8192,0.02139181800885126,382950.1539612205,0.013494153911558084,CPU,ghz,statevector
14,8192,0.028217765007866547,290313.56656759436,0.012231420947143896,CPU,ghz,statevector
15,8192,0.02001055200526025,409384.0088892369,0.011713662632710113,CPU,ghz,statevector
16,8192,0.045471331002772786,180157.4710777756,0.011401654715659782,CPU,ghz,statevector
17,8192,0.39065021999704186,20970.16609913091,0.011182600088475377,CPU,ghz,statevector
18,8192,0.07561551900289487,108337.5490643181,0.01114522676807942,CPU,ghz,statevector
19,8192,0.12814952699409332,63925.32373824202,0.011071447600950421,CPU,ghz,statevector
20,8192,0.1389337749860715,58963.34423232414,0.011078175102088307,CPU,ghz,statevector
21,8192,0.28141924100054894,29109.594535449767,0.011055284895105077,CPU,ghz,statevector
22,8192,0.624313965003239,13121.603006201374,0.011062022225790226,CPU,ghz,statevector
23,8192,1.7912037759961095,4573.460658011583,0.011053936936202902,CPU,ghz,statevector
24,8192,3.612909983014106,2267.42433066814,0.011056632689672122,CPU,ghz,statevector
25,8192,6.937168147996999,1180.8853159145801,0.011051240525152613,CPU,ghz,statevector
26,8192,12.816791807999834,639.161509582048,0.011051914689589729,CPU,ghz,statevector
27,8192,31.135546151999733,263.1076378107424,0.011049554934104394,CPU,ghz,statevector
3,16384,0.007969858008436859,2055745.5330641982,0.2498372859726986,CPU,ghz,statevector
4,16384,0.022143711001263,739894.0493337144,0.17810322143194388,CPU,ghz,statevector
5,16384,0.009929616004228592,1650013.4539968884,0.1257173695859476,CPU,ghz,statevector
6,16384,0.02935778899700381,558080.1742826109,0.08880801903509557,CPU,ghz,statevector
7,16384,0.015162336989305913,1080572.2107057595,0.06375635545503294,CPU,ghz,statevector
8,16384,0.022508067995659076,727916.7631428798,0.045700539409826345,CPU,ghz,statevector
9,16384,0.02942339600122068,556835.7914674527,0.0321761227842347,CPU,ghz,statevector
10,16384,0.034701697004493326,472138.2933485509,0.023452594982361925,CPU,ghz,statevector
11,16384,0.033040768990758806,495872.236042159,0.017450932104580104,CPU,ghz,statevector
12,16384,0.03478758700657636,470972.5913700975,0.013539078049339879,CPU,ghz,statevector
13,16384,0.049440579998190515,331387.69813379296,0.011036736029239245,CPU,ghz,statevector
14,16384,0.04505135799990967,363673.83198599366,0.009492880085611199,CPU,ghz,statevector
15,16384,0.046390781993977726,353173.6111309119,0.008762318931156298,CPU,ghz,statevector
16,16384,0.04255578100855928,385000.5712902948,0.008266152348849398,CPU,ghz,statevector
17,16384,0.11093369500304107,147691.82618095304,0.008075114945576771,CPU,ghz,statevector
18,16384,0.07724528499238659,212103.56077545485,0.00790540764584579,CPU,ghz,statevector
19,16384,0.12422952600172721,131884.91115849713,0.007869985800636987,CPU,ghz,statevector
20,16384,0.1898499890085077,86299.71529398292,0.007842008176928233,CPU,ghz,statevector
21,16384,0.5611587340099504,29196.729921536746,0.007823935722149447,CPU,ghz,statevector
22,16384,0.8321282170072664,19689.27343784201,0.007826316061041158,CPU,ghz,statevector
23,16384,2.2110884390131105,7409.925225475276,0.00781917287047402,CPU,ghz,statevector
