n_bits,shots,sim_time_s,throughput,l2_error,backend
13,2048,0.021829223998793168,93819.1847824377,0.021869331715389347,GPU
14,2048,0.023302165000131936,87888.82921344023,0.022053886309836356,GPU
15,2048,0.05498901300052239,37243.803593647775,0.022226184915509848,GPU
16,2048,0.0173592129995086,117977.6986467056,0.022010600917157508,GPU
17,2048,0.0203401329999906,100687.6405380902,0.02216172991779339,GPU
18,2048,0.023037363000184996,88899.06366382098,0.022140203220223895,GPU
19,2048,0.030306399001347017,67576.48772158557,0.022064694390029303,GPU
20,2048,0.07871273300042958,26018.662063084797,0.022118655572082275,GPU
21,2048,0.10078941800020402,20319.59347156717,0.02209708691207961,GPU
22,2048,0.11232224099876476,18233.25444532862,0.02209169145676488,GPU
23,2048,0.21990630999971472,9313.057001423273,0.022094389349118684,GPU
24,2048,0.40370359199914674,5073.028926639644,0.022095738171765716,GPU
25,2048,0.8198860849988705,2497.907986818463,0.022096412552213365,GPU
26,2048,1.7013331800008018,1203.7618639748357,0.022096749734719045,GPU
27,2048,3.523383252999338,581.2595034209254,0.022096918324042453,GPU
3,4096,0.0035073889994237106,1167820.2790374842,0.01182507913897689,GPU
4,4096,0.002781387000140967,1472646.5607958927,0.01149277567962873,GPU
5,4096,0.02117940800053475,193395.39612705802,0.015533177461510611,GPU
6,4096,0.008514117998856818,481083.3019403731,0.015746597164645604,GPU
7,4096,0.014261684000302921,287203.1100894537,0.01663742679433674,GPU
8,4096,0.010536297000726336,388751.3800833097,0.01602425691545111,GPU
9,4096,0.010768718999315752,380360.9324619076,0.015429223934887657,GPU
10,4096,0.007992574999661883,512475.64147640485,0.015425360350518861,GPU
11,4096,0.009827066000070772,416808.02794755844,0.015386671149012432,GPU
12,4096,0.05441370999869832,75275.14665142266,0.01594221456768995,GPU
13,4096,0.030334944998685387,135025.79286619794,0.015723869324320915,GPU
14,4096,0.022759825998946326,179966.22646366566,0.015625,GPU
15,4096,0.03551427299862553,115333.91096471334,0.015674512616479026,GPU
16,4096,0.029931238999779453,136846.99119973555,0.015674512616479026,GPU
17,4096,0.04390092200083018,93301.00174029474,0.01565168010236778,GPU
18,4096,0.029099523000695626,140758.32101791102,0.015605914857907117,GPU
19,4096,0.04752452700085996,86187.07556891376,0.015659294639477125,GPU
20,4096,0.06852418500056956,59774.51610648058,0.015625,GPU
21,4096,0.09800194700073916,41795.08800951788,0.015636439903912027,GPU
22,4096,0.11855245600054332,34550.10666317388,0.015621184836959366,GPU
23,4096,0.23803322200001276,17207.682043642548,0.015625,GPU
24,4096,0.4324063029998797,9472.572373675921,0.015623092534937653,GPU
25,4096,0.8446925279986317,4849.101731377734,0.015624046296577987,GPU
26,4096,1.6970752980014367,2413.564091601392,0.015624523155565617,GPU
27,4096,3.5336078939999425,1159.1552098791149,0.015624761579601881,GPU
3,8192,0.038729022000552504,211520.96223558483,0.012134796039390302,GPU
4,8192,0.040896511998653295,200310.48125252733,0.011495368522454643,GPU
5,8192,0.02707516500049678,302565.09978239064,0.012665934683747736,GPU
6,8192,0.045851058999687666,178665.4480555357,0.011342690410466146,GPU
7,8192,0.053849730000365525,152127.03944744743,0.011167932628401054,GPU
