target,n_bits,shots,sim_time_s,l2_norm
qpp-cpu,3,1024,0.02568359999986569,0.027063293868263706
qpp-cpu,4,1024,0.024412669999946957,0.029684929987442703
qpp-cpu,5,1024,0.028133636999882583,0.026167501966746606
qpp-cpu,6,1024,0.02659243400012201,0.02939436902986799
qpp-cpu,7,1024,0.0296085519994449,0.034332804357904194
qpp-cpu,8,1024,0.030704167000294547,0.029749113694780893
qpp-cpu,9,1024,0.1365439419996619,0.03149319432929121
qpp-cpu,10,1024,0.03423980699972162,0.031824552220313135
qpp-cpu,11,1024,0.041574027000024216,0.031066354923021223
qpp-cpu,12,1024,0.0551399460000539,0.0318844291353799
qpp-cpu,13,1024,0.08248684200043499,0.03128050269149798
qpp-cpu,14,1024,0.16582587499942747,0.031462897839037135
qpp-cpu,15,1024,0.2595194679997803,0.031097037750177067
qpp-cpu,16,1024,0.7822555570000986,0.031310975667737106
qpp-cpu,17,1024,1.3551542209997933,0.031188905122404905
qpp-cpu,18,1024,3.784008040000117,0.03125
qpp-cpu,19,1024,7.065612372999567,0.031219467506144103
qpp-cpu,20,1024,19.216328661999796,0.031234737483827102
qpp-cpu,21,1024,37.03872354500072,0.031242369673918732
qpp-cpu,3,2048,0.02477506600007473,0.021672208028488425
qpp-cpu,4,2048,0.02567494000049919,0.017096817773448826
qpp-cpu,5,2048,0.025655385000391107,0.019628663322501738
qpp-cpu,6,2048,0.028206019999743148,0.018125694524678305
qpp-cpu,7,2048,0.028079809999326244,0.024492062898407135
qpp-cpu,8,2048,0.030158063000271795,0.02097905376849691
qpp-cpu,9,2048,0.029006114000367234,0.0235996991671769
qpp-cpu,10,2048,0.03792668899950513,0.021606100478357017
qpp-cpu,11,2048,0.041326954000396654,0.021923773750628563
qpp-cpu,12,2048,0.05172129299990047,0.022279754973730144
qpp-cpu,13,2048,0.07517579199975444,0.02202143024175719
qpp-cpu,14,2048,0.13463651399979426,0.021891124776816304
qpp-cpu,15,2048,0.2566785840008379,0.022043072930265063
qpp-cpu,16,2048,0.6693149500006257,0.022172485429185016
qpp-cpu,17,2048,1.2580589179997332,0.02215096918401124
qpp-cpu,18,2048,3.1557334540002557,0.022118655572082275
qpp-cpu,19,2048,7.392125545999988,0.02209708691207961
qpp-cpu,20,2048,18.46756791200005,0.022075497178627567
qpp-cpu,21,2048,49.41894046299967,0.022086294683395784
qpp-cpu,3,4096,0.029204225999819755,0.01690045732409842
qpp-cpu,4,4096,0.02655093500015937,0.013278197891491355
qpp-cpu,5,4096,0.031689407999692776,0.015791954715621316
qpp-cpu,6,4096,0.027189992999410606,0.014729592899412457
qpp-cpu,7,4096,0.08511426800032496,0.015776850020901866
qpp-cpu,8,4096,0.03332453299935878,0.015101237396671987
qpp-cpu,9,4096,0.042560693999803334,0.015215269971565316
qpp-cpu,10,4096,0.16943549200004782,0.01592725237333993
qpp-cpu,11,4096,0.1546625850005512,0.015716286073663165
qpp-cpu,12,4096,0.06308070499926544,0.015517820880928422
qpp-cpu,13,4096,0.10723330800010444,0.015594452561202453
qpp-cpu,14,4096,0.20290769700022793,0.01569731191960792
qpp-cpu,15,4096,0.2908982130002187,0.015609733753072052
qpp-cpu,16,4096,1.1244940850001512,0.01563262753279504
qpp-cpu,17,4096,2.2772189150000486,0.015613551714179181
qpp-cpu,18,4096,4.273927199999889,0.01564406185898515
qpp-cpu,19,4096,9.781820067999433,0.015617368741913551
qpp-cpu,20,4096,20.297493256999587,0.01562881423171799
qpp-cpu,21,4096,50.4771661499999,0.015617368741913551
qpp-cpu,3,8192,0.19291535599950294,0.010710235238790942
qpp-cpu,4,8192,0.2906909400007862,0.009206400212385158
qpp-cpu,5,8192,0.12358065199987323,0.011388577919619728
qpp-cpu,6,8192,0.07105405299989798,0.011765703867208486
qpp-cpu,7,8192,0.09203670599890756,0.011956660925767462
qpp-cpu,8,8192,0.4660869669987733,0.01143428127670556
qpp-cpu,9,8192,0.05608523799855902,0.010972756374142691
qpp-cpu,10,8192,1.1405353329992067,0.011425155231247647
qpp-cpu,11,8192,0.11117086300146184,0.010886865303468407
qpp-cpu,12,8192,0.13488909099942248,0.010964605260198056
qpp-cpu,13,8192,0.34443071999885433,0.010941477461082304
qpp-cpu,14,8192,0.296504191999702,0.010940115479691445
qpp-cpu,15,8192,1.4084273210009997,0.01109296124300423
qpp-cpu,16,8192,1.7383897810013877,0.0110296455059341
qpp-cpu,17,8192,3.2417483320004976,0.011040448295502943
qpp-cpu,18,8192,6.36059266600023,0.011060675087963177
qpp-cpu,19,8192,10.892473339999924,0.011036398488570026
qpp-cpu,20,8192,24.22255730500001,0.011056632689672122
qpp-cpu,21,8192,50.26526530099909,0.011039098524937901
qpp-cpu,3,16384,0.02643028100101219,0.011241078548067713
qpp-cpu,4,16384,0.028123366999352584,0.00485680328712836
qpp-cpu,5,16384,0.035350415999346296,0.007491676957572797
qpp-cpu,6,16384,0.0337418750004872,0.006341197322398815
qpp-cpu,7,16384,0.032492308999280795,0.00679823149375766
qpp-cpu,8,16384,0.03624961200148391,0.0078125
qpp-cpu,9,16384,0.046254027998656966,0.007924234554256582
qpp-cpu,10,16384,0.043288993001624476,0.0079402023281003
qpp-cpu,11,16384,0.047833594999247,0.007743049919989283
qpp-cpu,12,16384,0.06864402800056268,0.007737274397117046
qpp-cpu,13,16384,0.12983411500135844,0.007822507171139916
qpp-cpu,14,16384,0.22557358499943803,0.007761790689443131
qpp-cpu,15,16384,0.5613009709995822,0.007801525036572705
qpp-cpu,16,16384,1.0405856310007948,0.007796748494744557
qpp-cpu,17,16384,3.520033804999912,0.007802479994044496
qpp-cpu,18,16384,5.969843675999073,0.007812976822607176
qpp-cpu,19,16384,11.368860113001574,0.007808207286223111
qpp-cpu,20,16384,20.086163269999815,0.0078110693575341675
qpp-cpu,21,16384,46.51447521699993,0.0078086843709567755
qpp-cpu,3,32768,0.05325301900120394,0.005033272958492341
qpp-cpu,4,32768,0.03483891199903155,0.005445314327989488
qpp-cpu,5,32768,0.036915132999638445,0.006556948629854359
qpp-cpu,6,32768,0.04182286500144983,0.00564055332339071
qpp-cpu,7,32768,0.04768156299905968,0.005178465237256893
qpp-cpu,8,32768,0.04279103699991538,0.005690853293635204
qpp-cpu,9,32768,0.08729519600092317,0.005261428723062823
qpp-cpu,10,32768,0.05777574400053709,0.005418223896908388
qpp-cpu,11,32768,0.06964746199992078,0.005477714003940101
qpp-cpu,12,32768,0.08120096499987994,0.0054006629585456965
qpp-cpu,13,32768,0.0987903789991833,0.005525451713755593
qpp-cpu,14,32768,0.2226309810012026,0.005515329358441866
qpp-cpu,15,32768,0.6012958730007085,0.005471419636478264
qpp-cpu,16,32768,0.6762354769998637,0.005523765942683697
qpp-cpu,17,32768,2.4245659099997283,0.0055459768615863155
qpp-cpu,18,32768,5.521624880000672,0.00551482275296705
qpp-cpu,19,32768,7.769623828000476,0.005531011112895113
qpp-cpu,20,32768,19.978629956998702,0.005519717991525542
qpp-cpu,21,32768,50.336652951998985,0.005523428726728882
qpp-cpu,3,65536,0.07205284699921322,0.00318751684352688
qpp-cpu,4,65536,0.28706330900058674,0.004603958746227097
qpp-cpu,5,65536,0.05473874000017531,0.003464383642016235
qpp-cpu,6,65536,0.04981974300062575,0.003989232318848075
qpp-cpu,7,65536,0.06726256999900215,0.00389628330945269
qpp-cpu,8,65536,0.06259543000123813,0.003838609137992405
qpp-cpu,9,65536,0.07346774399957212,0.0038336322057181695
qpp-cpu,10,65536,0.08212725200064597,0.003823110838834694
qpp-cpu,11,65536,0.1085590239999874,0.00392017267524404
qpp-cpu,12,65536,0.10343179700066685,0.0038905423971392554
qpp-cpu,13,65536,0.2775739460012119,0.00387014150984863
qpp-cpu,14,65536,0.19283953800004383,0.003896343066107875
qpp-cpu,15,65536,0.38710284999979194,0.003926048174841144
qpp-cpu,16,65536,0.9989130410012876,0.003903030022045101
qpp-cpu,17,65536,3.492727665001439,0.003909943741579037
qpp-cpu,18,65536,5.929423379999207,0.0039181527943613365
qpp-cpu,19,65536,10.8872385199993,0.0039024931007497774
qpp-cpu,20,65536,22.24877988800108,0.003907978152425103
qpp-cpu,21,65536,49.088835410000684,0.0039040440052424633
qpp-cpu,3,131072,0.18199227200057067,0.0026302054101468198
qpp-cpu,4,131072,0.15786155200112262,0.002059116906894505
qpp-cpu,5,131072,0.0834017400011362,0.0026120622468909496
qpp-cpu,6,131072,0.08826267299991741,0.0024833649900451345
qpp-cpu,7,131072,0.10186961100043845,0.0027490181186007982
qpp-cpu,8,131072,0.09694807900086744,0.0027470482324607206
qpp-cpu,9,131072,0.14433379799993418,0.0026817728747648224
qpp-cpu,10,131072,0.10678916200049571,0.0028152982712215777
qpp-cpu,11,131072,0.11910508700020728,0.0027680091051222565
qpp-cpu,12,131072,0.1570055299998785,0.0027837777799338743
qpp-cpu,13,131072,0.19068607799999882,0.0026968156037249003
