target,n_bits,shots,sim_time_s,l2_norm
nvidia,3,1024,0.16939515299964114,0.025315393353155705
nvidia,4,1024,0.024343996999959927,0.022818987198335788
nvidia,5,1024,0.025383723999766516,0.034499065884093155
nvidia,6,1024,0.028291676000662846,0.025652198313600973
nvidia,7,1024,0.02718747800008714,0.032033631771204545
nvidia,8,1024,0.03116511700045521,0.03097412407647208
nvidia,9,1024,0.03636418899986893,0.030226147540121408
nvidia,10,1024,0.03036394900027517,0.031004898176538172
nvidia,11,1024,0.031101743000363058,0.03137183282072072
nvidia,12,1024,0.034379989000626665,0.030788833536004777
nvidia,13,1024,0.04017988400028116,0.03170445914208579
nvidia,14,1024,0.03786973699970986,0.03143257214732633
nvidia,15,1024,0.04063956899972254,0.031097037750177067
nvidia,16,1024,0.045601527000144415,0.031188905122404905
nvidia,17,1024,0.05040534999989177,0.03125
nvidia,18,1024,0.04865982800038182,0.031188905122404905
nvidia,19,1024,0.05195095099952596,0.031219467506144103
nvidia,20,1024,0.05635351599994465,0.031234737483827102
nvidia,21,1024,0.07996820899916202,0.031242369673918732
nvidia,22,1024,0.06921224899997469,0.031246185069875306
nvidia,23,1024,0.08396516399989196,0.031248092593155974
nvidia,24,1024,0.11270425000020623,0.031279549932632295
nvidia,25,1024,0.1677974300000642,0.031249523159203763
nvidia,26,1024,0.2587168889995155,0.031249761580511397
nvidia,27,1024,0.45110119600030885,0.031249880790483076
nvidia,28,1024,0.8472732079999332,0.03124994039529838
nvidia,3,2048,0.02733196100052737,0.02331511012951821
nvidia,4,2048,0.023758205999911297,0.01846452187616117
nvidia,5,2048,0.023886420000053477,0.022086294683395784
nvidia,6,2048,0.02427822100071353,0.022881590847382775
nvidia,7,2048,0.029900289000579505,0.023790874443515297
nvidia,8,2048,0.02824037699974724,0.02173811454057819
nvidia,9,2048,0.02837067900054535,0.02291282852861341
nvidia,10,2048,0.030799690000094415,0.0228294330616425
nvidia,11,2048,0.03735990600034711,0.022215455402494776
nvidia,12,2048,0.034393024000564765,0.0225139489910127
nvidia,13,2048,0.03585012299936352,0.021891124776816304
nvidia,14,2048,0.03858018400023866,0.022129432018798165
nvidia,15,2048,0.04585716699966724,0.02220472070488686
nvidia,16,2048,0.04406302600000345,0.02202143024175719
nvidia,17,2048,0.04673514900059672,0.022129432018798165
nvidia,18,2048,0.05050644800030568,0.022064694390029303
nvidia,19,2048,0.060146255000290694,0.022118655572082275
nvidia,20,2048,0.057677163000334986,0.022086294683395784
nvidia,21,2048,0.06285361600021133,0.02209708691207961
nvidia,22,2048,0.07170451700039848,0.022102481050305225
nvidia,23,2048,0.0920094720004272,0.022105177625810934
nvidia,24,2048,0.11164782200012269,0.022095738171765716
nvidia,25,2048,0.1637284369999179,0.022096412552213365
nvidia,26,2048,0.2593882860001031,0.022096749734719045
nvidia,27,2048,0.4592140320000908,0.022096918324042453
nvidia,28,2048,0.8368846439998379,0.02209700261822181
nvidia,3,4096,0.019995067000309064,0.018174953682065186
nvidia,4,4096,0.02378995299932285,0.016392002276947773
nvidia,5,4096,0.04211518000010983,0.01699892107961837
nvidia,6,4096,0.028968339000130072,0.015109129342544728
nvidia,7,4096,0.0300017689996821,0.014632152406027048
nvidia,8,4096,0.031131266000556934,0.014460051655235203
nvidia,9,4096,0.044148871999823314,0.015590629922939065
nvidia,10,4096,0.039521599000181595,0.015223102800898336
nvidia,11,4096,0.0383061339998676,0.0159683646736014
nvidia,12,4096,0.0372269449999294,0.015742811469876473
nvidia,13,4096,0.0466471569998248,0.015712493075882898
nvidia,14,4096,0.042281705000277725,0.015575329988024005
nvidia,15,4096,0.05994032399939897,0.015625
nvidia,16,4096,0.04868046499996126,0.015625
nvidia,17,4096,0.05939426199984155,0.01565168010236778
nvidia,18,4096,0.053056351999657636,0.015682116067140355
nvidia,19,4096,0.05571354599942424,0.015605914857907117
nvidia,20,4096,0.05947513800037996,0.01563262753279504
nvidia,21,4096,0.07356730400078959,0.015617368741913551
nvidia,22,4096,0.07201214099950448,0.015625
nvidia,23,4096,0.08612534399981087,0.015625
nvidia,24,4096,0.11361494599987054,0.015626907232231698
nvidia,25,4096,0.1741040389997579,0.015627860761062696
nvidia,26,4096,0.2602062189998833,0.015624523155565617
nvidia,27,4096,0.4397668560004604,0.015624761579601881
nvidia,28,4096,0.8403421470002286,0.015624880790255698
nvidia,3,8192,0.02893048500027362,0.007724263681424011
nvidia,4,8192,0.026387932999568875,0.008671289372645528
nvidia,5,8192,0.026453276999745867,0.010082446214308743
nvidia,6,8192,0.02611070100010693,0.011181267478080553
nvidia,7,8192,0.033098947999860684,0.012280055019491495
nvidia,8,8192,0.02993341499950475,0.010626429293369318
nvidia,9,8192,0.030152845999509736,0.011139877486865072
nvidia,10,8192,0.031689706000179285,0.01116926682978308
nvidia,11,8192,0.040776368000479124,0.011063369199582226
nvidia,12,8192,0.036428593999517034,0.011194586443467163
nvidia,13,8192,0.06040316599955986,0.010980901437523935
nvidia,14,8192,0.04809981800008245,0.010951006587893459
nvidia,15,8192,0.05103410100036854,0.011018832125387458
nvidia,16,8192,0.04919453099955717,0.011067409137346813
nvidia,17,8192,0.05200463200071681,0.01103369779148112
nvidia,18,8192,0.0566558829996211,0.011056632689672122
nvidia,19,8192,0.06918545400003495,0.011064716009399083
