n_bits,Probability,noise,sim_time_s,l2_pop,fro_norm,fidelity
8,0.01,Phase Damping,0.7501079220000975,0.007953796568210695,0.08163104267168635,0.9227446944279187
3,0.01,Bit Flip,0.10759333100031654,0.007008685887919275,2.220446049250313e-16,0.9999999999999993
4,0.01,Bit Flip,0.039073318999726325,0.006627867168212025,6.661338147750939e-16,0.9999999999999993
5,0.01,Bit Flip,0.07034399499934807,0.006525340459425828,5.551115123125783e-16,0.999999999999999
6,0.01,Bit Flip,0.11529201099983766,0.007433771336770054,9.992007221626409e-16,0.9999999999999989
7,0.01,Bit Flip,0.20139503000063996,0.007168448533468288,8.881784197001252e-16,0.9999999999999991
8,0.01,Bit Flip,0.6043067400005384,0.007742087632044228,1.2212453270876722e-15,0.9999999999999999
3,0.1,none,0.10886528999981238,0.00526390627195809,2.220446049250313e-16,0.9999999999999993
4,0.1,none,0.043109604000164836,0.006883726650327971,6.661338147750939e-16,0.9999999999999993
5,0.1,none,0.03845134600032907,0.007744974137195924,5.551115123125783e-16,0.999999999999999
6,0.1,none,0.04824282400022639,0.008201907839620319,9.992007221626409e-16,0.9999999999999989
7,0.1,none,0.16294854900024802,0.007905878864970926,8.881784197001252e-16,0.9999999999999991
8,0.1,none,0.32190484300008393,0.007611061958825638,1.2212453270876722e-15,0.9999999999999999
3,0.1,Depolarizing,0.10864911999942706,0.006383355331216993,0.21242564098819547,0.8130370370370361
4,0.1,Depolarizing,0.12983054000051197,0.00753580289748567,0.26458011740230136,0.7588345679012336
5,0.1,Depolarizing,0.053875551999226445,0.006976721510831815,0.31312632185690187,0.7082455967078176
6,0.1,Depolarizing,0.1429876330003026,0.006787811901590744,0.358398219819515,0.661029223593963
7,0.1,Depolarizing,0.3787635440003214,0.00788889724398187,0.4006536277889858,0.6169606086876985
8,0.1,Depolarizing,0.919825323000623,0.007861934662160458,0.44011170338567257,0.5758299014418522
3,0.1,Amplitude Damping,0.12244036299944128,0.0601622764244023,0.14497468537903124,0.9249831077996247
4,0.1,Amplitude Damping,0.06590438500006712,0.05180917746240872,0.17114458062413784,0.9012495665739932
5,0.1,Amplitude Damping,0.03831457100022817,0.039345857947057486,0.195215498459698,0.8781249888790024
6,0.1,Amplitude Damping,0.0691174849998788,0.03158957047554762,0.21777376123102807,0.8555937497146524
7,0.1,Amplitude Damping,0.2255242699993687,0.02496166269983117,0.23915283722278574,0.8336406249926769
8,0.1,Amplitude Damping,0.6879263640003046,0.019372293221687854,0.2595618947539742,0.8122507812498108
3,0.1,Phase Damping,0.12112713600072311,0.007023552814084384,0.30556177771442583,0.7289999999999993
4,0.1,Phase Damping,0.04198808299952361,0.009831776678937015,0.37406117146798407,0.6560999999999992
5,0.1,Phase Damping,0.07468364600026689,0.007849605183482801,0.43561432850630677,0.5904899999999991
6,0.1,Phase Damping,0.16395916400051647,0.007654013014988416,0.49104446990471196,0.5314409999999992
7,0.1,Phase Damping,0.231003089999831,0.00759440217533858,0.5410098618026117,0.47829689999999914
8,0.1,Phase Damping,0.6084898380004233,0.00801119849098135,0.5860713829095398,0.4304672099999993
3,0.1,Bit Flip,0.12037225600033707,0.0066188680233036905,5.551115123125783e-16,0.999999999999999
4,0.1,Bit Flip,0.042847749999964435,0.010387100539806763,1.1102230246251565e-15,0.9999999999999989
5,0.1,Bit Flip,0.044523644000037166,0.007950517328092667,9.992007221626409e-16,0.9999999999999986
6,0.1,Bit Flip,0.057536950999747205,0.008487618263780276,1.4432899320127035e-15,0.9999999999999987
7,0.1,Bit Flip,0.209661624000546,0.008161384106663467,1.3322676295501878e-15,0.9999999999999989
8,0.1,Bit Flip,0.6284921840006064,0.007616444086819578,1.7763568394002505e-15,0.9999999999999999
3,0.5,none,0.10696069000005082,0.005414613065482635,2.220446049250313e-16,0.9999999999999993
4,0.5,none,0.04298637400006555,0.005920095533682686,6.661338147750939e-16,0.9999999999999993
5,0.5,none,0.04405106300055195,0.01037418125552878,5.551115123125783e-16,0.999999999999999
6,0.5,none,0.04556678400058445,0.007093745227425604,9.992007221626409e-16,0.9999999999999989
7,0.5,none,0.14329382800042367,0.0072567695057137935,8.881784197001252e-16,0.9999999999999991
8,0.5,none,0.3039530200003355,0.008176888789557702,1.2212453270876722e-15,0.9999999999999999
3,0.5,Depolarizing,0.10715710999920702,0.005758045124546267,0.7608384660805233,0.29629629629629617
4,0.5,Depolarizing,0.06853782899997896,0.008881821173623655,0.8367784297694096,0.19753086419753085
5,0.5,Depolarizing,0.04821405100028642,0.0068321217377713475,0.8885649463064806,0.13168724279835387
6,0.5,Depolarizing,0.07795349000025453,0.008229567280607019,0.9240228372253856,0.08779149519890259
7,0.5,Depolarizing,0.30752427199968224,0.00855712019937592,0.948303047446829,0.05852766346593506
8,0.5,Depolarizing,1.2134060419994057,0.007502608640317015,0.9649028749080716,0.03901844231062336
3,0.5,Amplitude Damping,0.1665764980007225,0.34629759888258566,0.6528425855148932,0.6218592167691142
4,0.5,Amplitude Damping,0.07024174200068956,0.29791705552767117,0.7242938317665621,0.530790042944955
5,0.5,Amplitude Damping,0.042288424999242125,0.25349222319146525,0.7789696103502646,0.4530576408488156
6,0.5,Amplitude Damping,0.07846381600029417,0.21273309671534166,0.8218135723155948,0.3867088854806964
7,0.5,Amplitude Damping,0.21014639900022303,0.1697458254085935,0.8558869919731728,0.33007668037459437
8,0.5,Amplitude Damping,0.6172861659997579,0.13910561546842198,0.8832512532834608,0.2817380696895073
3,0.5,Phase Damping,0.1558203089998642,0.005852377209652402,0.9354143466934853,0.12499999999999997
4,0.5,Phase Damping,0.045680457999878854,0.00932021025404121,0.9682458365518543,0.0625
5,0.5,Phase Damping,0.051351539000279445,0.009193847772945822,0.9842509842514763,0.031249999999999997
6,0.5,Phase Damping,0.07308035900041432,0.007015061285739554,0.9921567416492215,0.015625
7,0.5,Phase Damping,0.20045909700002085,0.007125184642340082,0.9960860906568266,0.007812499999999999
8,0.5,Phase Damping,0.606833406000078,0.007545189615980169,0.998044963916957,0.00390625
3,0.5,Bit Flip,0.10798869600057515,0.008505594488107834,2.220446049250313e-16,0.9999999999999998
4,0.5,Bit Flip,0.037818525999682606,0.007124661788944233,0.0,1.0
5,0.5,Bit Flip,0.04087840200008941,0.008276511222013637,2.220446049250313e-16,0.9999999999999999
6,0.5,Bit Flip,0.06368485799976042,0.007318112689122003,0.0,1.0
7,0.5,Bit Flip,0.22054220599966357,0.007507076104258691,2.220446049250313e-16,1.0
8,0.5,Bit Flip,0.7695815320003021,0.007533330764460618,0.0,1.0
3,0.9,none,0.10727389400017273,0.007770904435010614,2.220446049250313e-16,0.9999999999999993
4,0.9,none,0.04439641800036043,0.0057515717721629625,6.661338147750939e-16,0.9999999999999993
5,0.9,none,0.03616303699982382,0.007691398438487971,5.551115123125783e-16,0.999999999999999
6,0.9,none,0.05067608500030474,0.007254202282544442,9.992007221626409e-16,0.9999999999999989
7,0.9,none,0.14362923600037902,0.00736681946758526,8.881784197001252e-16,0.9999999999999991
8,0.9,none,0.2959346280003956,0.007220745322837037,1.2212453270876722e-15,0.9999999999999999
3,0.9,Depolarizing,0.17490228099995875,0.007592930439494134,1.0062842540753578,0.06399999999999992
4,0.9,Depolarizing,0.058323584999925515,0.00706954699002454,1.0108986892859242,0.025599999999999973
5,0.9,Depolarizing,0.046947955999712576,0.009226610097996536,1.008732077015498,0.010239999999999992
6,0.9,Depolarizing,0.09720419400036917,0.008197819038271882,1.0057726431276643,0.004095999999999996
7,0.9,Depolarizing,0.31918998999935866,0.007849605183482801,1.003495848035895,0.0016383999999999982
8,0.9,Depolarizing,0.9489544460002435,0.007796748494744557,1.00201559511474,0.0006553599999999991
3,0.9,Amplitude Damping,0.1067205900008048,0.7841361996954441,1.1405732577686316,0.28503825933152444
4,0.9,Amplitude Damping,0.07660789300007309,0.7778516049744968,1.206902783705356,0.18758763565463027
5,0.9,Amplitude Damping,0.0410436940001091,0.7628400765356694,1.2439658411655843,0.12345402730503721
6,0.9,Amplitude Damping,0.0613783170001625,0.732507466719201,1.2633761482411034,0.08124680928274541
7,0.9,Amplitude Damping,0.2710042059998159,0.6992163738018556,1.2718238963232444,0.05346965313911201
8,0.9,Amplitude Damping,0.7879503100002694,0.6636683360112646,1.2733796360892917,0.03518912105049429
3,0.9,Phase Damping,0.13298076299997774,0.007044208030397221,1.2447361166126734,0.0009999999999999712
4,0.9,Phase Damping,0.05021629299972119,0.006908036531699664,1.2049571610642424,0.00010000000000002802
5,0.9,Phase Damping,0.1200606330003211,0.008425504847039744,1.1707774524648147,1.0000000000026501e-05
6,0.9,Phase Damping,0.13125461700019514,0.0071741627221265205,1.141930239298352,1.0000000000201905e-06
7,0.9,Phase Damping,0.3169183760001033,0.008073269415911353,1.1177143063268362,9.999999998420595e-08
8,0.9,Phase Damping,0.9303753159992993,0.007645247202207881,1.097458001868636,9.99999998903464e-09
3,0.9,Bit Flip,0.09974061800039635,0.0075229389346340835,6.661338147750939e-16,0.999999999999999
4,0.9,Bit Flip,0.06306447899987688,0.008318265564625333,1.1102230246251565e-15,0.9999999999999989
5,0.9,Bit Flip,0.11036035700089997,0.007545189615980169,9.992007221626409e-16,0.9999999999999986
6,0.9,Bit Flip,0.08763831099986419,0.007251120414976672,1.4432899320127035e-15,0.9999999999999987
7,0.9,Bit Flip,0.2697415889997501,0.008428599290016622,1.3322676295501878e-15,0.9999999999999989
8,0.9,Bit Flip,0.8288526770002136,0.007576722477384143,1.887379141862766e-15,0.9999999999999992
3,1.0,none,0.10858430799999041,0.009047625601139898,2.220446049250313e-16,0.9999999999999993
4,1.0,none,0.05778991700026381,0.007141374110487673,6.661338147750939e-16,0.9999999999999993
5,1.0,none,0.257421298000736,0.0096261555609673,5.551115123125783e-16,0.999999999999999
6,1.0,none,0.05708763600068778,0.007467770468350969,9.992007221626409e-16,0.9999999999999989
7,1.0,none,0.17305211900020367,0.008313337814444053,8.881784197001252e-16,0.9999999999999991
8,1.0,none,0.4521803830002682,0.008015382491639071,1.2212453270876722e-15,0.9999999999999999
3,1.0,Depolarizing,0.12757612199948198,0.0033751944733150614,1.0475656017578479,0.03703703703703701
4,1.0,Depolarizing,0.06463541300036013,0.006334731809242735,1.0346828069015783,0.012345679012345661
5,1.0,Depolarizing,0.06777706900084013,0.009312212817993177,1.0221016078289131,0.004115226337448542
6,1.0,Depolarizing,0.10594937299993035,0.007277786577217794,1.013241190382076,0.001371742112482846
7,1.0,Depolarizing,0.6519051129998843,0.0065912317104364375,1.0076802578135367,0.00045724737082761355
8,1.0,Depolarizing,1.32029016100023,0.00752095791052215,1.0043752341861873,0.0001524157902758719
3,1.0,Amplitude Damping,0.12036243100010324,0.9354143466934853,1.322875655532295,0.12499999999999992
4,1.0,Amplitude Damping,0.10296728999946936,0.9682458365518543,1.3693063937629149,0.06249999999999996
5,1.0,Amplitude Damping,0.18108552600006078,0.9842509842514764,1.391941090707505,0.03124999999999997
6,1.0,Amplitude Damping,0.0867417999997997,0.9921567416492215,1.4031215200402274,0.015624999999999984
7,1.0,Amplitude Damping,0.2761569040003451,0.9960860906568267,1.4086784586980798,0.0078124999999999905
8,1.0,Amplitude Damping,0.8246969439996974,0.998044963916957,1.411448723829526,0.0039062499999999952
3,1.0,Phase Damping,0.11056880899923271,0.008832189923784048,1.4142135623730947,0.0
4,1.0,Phase Damping,0.12109510299978865,0.007802479994044496,1.414213562373095,0.0
5,1.0,Phase Damping,0.04647539799952938,0.00787519097475064,1.414213562373095,0.0
6,1.0,Phase Damping,0.11059672199917259,0.008637714633952387,1.414213562373095,0.0
7,1.0,Phase Damping,0.27928815500035853,0.008382951520209667,1.414213562373095,0.0
8,1.0,Phase Damping,0.7645286409997425,0.007471261595751639,1.414213562373095,0.0
3,1.0,Bit Flip,0.1615190739994432,0.0064927178452012695,2.220446049250313e-16,0.9999999999999993
4,1.0,Bit Flip,0.04394084199975623,0.00703732969440488,6.661338147750939e-16,0.9999999999999993
5,1.0,Bit Flip,0.04640640699926735,0.007467770468350969,5.551115123125783e-16,0.999999999999999
6,1.0,Bit Flip,0.15951130199937325,0.007355179516114064,9.992007221626409e-16,0.9999999999999989
7,1.0,Bit Flip,0.28662358699966717,0.00728597191547444,8.881784197001252e-16,0.9999999999999991
8,1.0,Bit Flip,0.8946308429995042,0.007408169590184941,1.2212453270876722e-15,0.9999999999999999
