probability,noise_model,n_bits,shots,time_s,L2_pop,Fro_norm,Fidelity
0.0,none,3,524288,0.2640065049927216,0.0012792011536393478,2.220446049250313e-16,0.9999999999999993
0.0,none,4,524288,0.31153244100278243,0.0011794140819405149,6.661338147750939e-16,0.9999999999999996
0.0,none,5,524288,0.17339269899821375,0.0013426271272190208,5.551115123125783e-16,0.9999999999999992
0.0,none,6,524288,0.18990706000477076,0.0015108994505045072,8.881784197001252e-16,0.9999999999999999
0.0,none,7,524288,0.1912173929886194,0.0013475468710381097,8.881784197001252e-16,0.9999999999999999
0.0,none,8,524288,0.2107398660009494,0.0014660651360223532,1.3322676295501878e-15,0.9999999999999999
0.0,none,9,524288,0.24301546700007748,0.0013703420553749972,1.2212453270876722e-15,0.9999999999999999
0.0,none,10,524288,0.30306291099986993,0.0013471499559719827,1.5543122344752192e-15,0.9999999999999999
0.01,Depol,3,524288,0.145089903002372,0.001121290663337794,0.022902297705874725,0.9801330370370365
0.01,Depol,4,524288,0.48221537499921396,0.001821820498599236,0.029458753387026516,0.9735988167901228
0.01,Depol,5,524288,0.30868531300802715,0.0013522846235650002,0.03595184978782197,0.9671081580115217
0.01,Depol,6,524288,0.5591639089980163,0.0014777705905589722,0.04239122470505982,0.9606607702914443
0.01,Depol,7,524288,0.35493702501116786,0.0013012284089867693,0.04878148998493501,0.9542563651561684
0.01,Depol,8,524288,0.9424098989984486,0.0015133630529822464,0.05512520890064383,0.9478946560551272
0.01,Depol,9,524288,3.779285932003404,0.001362511929263762,0.06142397923205019,0.9415753583480928
0.01,Depol,10,524288,17.98835536900151,0.001360799349116308,0.06767889404393777,0.935298189292439
0.01,AmpDamp,3,524288,0.14431942199007608,0.006332400907952163,0.014947163569440152,0.992499984256926
0.01,AmpDamp,4,524288,0.16113645699806511,0.005572352898093449,0.017931272397285824,0.9900124999605426
0.01,AmpDamp,5,524288,0.17133746600302402,0.00436848048377025,0.02076812763198648,0.9875312499999
0.01,AmpDamp,6,524288,0.186158948999946,0.0034121171639909806,0.023509216070974503,0.9850562187499986
0.01,AmpDamp,7,524288,0.2762276300054509,0.0026904570600636843,0.02618295519239435,0.9825873906249989
0.01,AmpDamp,8,524288,0.6164117130101658,0.0021622924258761643,0.02880658971161887,0.9801247500781238
0.01,AmpDamp,9,524288,2.259551201001159,0.0018923705415783585,0.03139130343091194,0.9776682816015607
0.01,AmpDamp,10,524288,11.2161875259917,0.0016471366291770442,0.03394471821458904,0.9752179697263657
0.01,Phase,3,524288,0.18160413700388744,0.001407881715617856,0.03421048973633694,0.9702989999999994
0.01,Phase,4,524288,0.16734129800170194,0.0013573435848286373,0.04392407229938552,0.9605960099999995
0.01,Phase,5,524288,0.17195814999286085,0.0014623929423060267,0.05351113635160335,0.9509900498999992
0.01,Phase,6,524288,0.45483481998962816,0.0013279009947431092,0.0629868286998943,0.9414801494009992
0.01,Phase,7,524288,0.28132538800127804,0.0014390891715240829,0.07235866442752241,0.9320653479069898
0.01,Phase,8,524288,0.6162834190035937,0.0013764001830111072,0.0816310426716863,0.9227446944279196
0.01,Phase,9,524288,2.3517380739940563,0.0013298529278151971,0.09080689015571136,0.9135172474836407
0.01,Phase,10,524288,10.640738114001579,0.0013531102771459128,0.09988836069000642,0.9043820750088045
0.01,BitFlip,3,524288,0.14375255700724665,0.0012594452809223877,2.220446049250313e-16,0.9999999999999993
0.01,BitFlip,4,524288,0.1608650830021361,0.0012751363848454793,6.661338147750939e-16,0.9999999999999996
0.01,BitFlip,5,524288,0.16470016600214876,0.0016556555207140051,5.551115123125783e-16,0.9999999999999992
0.01,BitFlip,6,524288,0.20137985900510103,0.0016295858081715766,9.992007221626409e-16,0.9999999999999999
0.01,BitFlip,7,524288,0.3084484209975926,0.0014079204752170096,8.881784197001252e-16,0.9999999999999999
0.01,BitFlip,8,524288,0.6690483260026667,0.0012430470685753125,1.2212453270876722e-15,0.9999999999999999
