bitstring,counts
0100,1071
0000,996
1011,984
0011,1049
0111,1034
1110,1024
1100,1006
0101,1087
1001,996
0010,966
1101,1042
1000,1012
0110,1015
1010,1031
0001,1035
1111,1036
