bitstring,counts
1111,1031
0010,976
0110,1057
1000,1032
1100,1018
1101,1044
0100,991
1110,1007
1001,1010
0101,1002
1010,993
0111,1057
0011,1045
1011,1097
0000,1068
0001,956
