target,init,n_bits,shots,sim_time_s,l2_norm
nvidia,ghz,3,1024,0.000796492000517901,0.2539700941367316
nvidia,ghz,4,1024,0.0008088859976851381,0.17770217771553548
nvidia,ghz,5,1024,0.0009833170042838901,0.1385411465666146
nvidia,ghz,6,1024,0.0012509380030678585,0.08972691111980598
nvidia,ghz,7,1024,0.0011430590020609088,0.06912241550463433
nvidia,ghz,8,1024,0.0012684449975495227,0.05384394043785243
nvidia,ghz,9,1024,0.0015241919973050244,0.04234274099351328
nvidia,ghz,10,1024,0.0016547600025660358,0.03864523229962769
nvidia,ghz,11,1024,0.0019754410022869706,0.034911255726014605
nvidia,ghz,12,1024,0.0022490359988296404,0.033432114782468145
nvidia,ghz,13,1024,0.0023986050000530668,0.03262361931345716
nvidia,ghz,14,1024,0.0027648979958030395,0.03167436472700558
nvidia,ghz,15,1024,0.0032869589995243587,0.031341419015392995
nvidia,ghz,16,1024,0.003976301995862741,0.03143257214732633
nvidia,ghz,17,1024,0.004402529004437383,0.03125
nvidia,ghz,18,1024,0.005068259000836406,0.03125
nvidia,ghz,19,1024,0.00643628700345289,0.031341419015392995
nvidia,ghz,20,1024,0.007146055002522189,0.03126525506559008
nvidia,ghz,21,1024,0.009393041000294033,0.031242369673918732
nvidia,ghz,22,1024,0.014243359000829514,0.031246185069875306
nvidia,ghz,23,1024,0.02704481899854727,0.031248092593155974
nvidia,ghz,24,1024,0.05333280500053661,0.031249046311131234
nvidia,ghz,25,1024,0.11063728899898706,0.031249523159203763
nvidia,ghz,26,1024,0.21660546700150007,0.031249761580511397
nvidia,ghz,27,1024,0.4358049789952929,0.031249880790483076
nvidia,ghz,3,2048,0.0009193179939757101,0.24453093799900225
nvidia,ghz,4,2048,0.0009858019984676503,0.17636621417920795
nvidia,ghz,5,2048,0.0011483970010885969,0.12541321167775776
nvidia,ghz,6,2048,0.0013081159995635971,0.09041513280548989
nvidia,ghz,7,2048,0.0015092239991645329,0.06540417529669061
nvidia,ghz,8,2048,0.001709547999780625,0.05030007913935903
nvidia,ghz,9,2048,0.0018689060016185977,0.038964721373554695
nvidia,ghz,10,2048,0.002022902997850906,0.03139462383921584
nvidia,ghz,11,2048,0.0022858239972265437,0.02682437831019604
nvidia,ghz,12,2048,0.00256340199848637,0.02504078399405876
nvidia,ghz,13,2048,0.0032593549985904247,0.02333555301825883
nvidia,ghz,14,2048,0.0032046449996414594,0.022693261794184082
nvidia,ghz,15,2048,0.0036172820036881603,0.02257739847987674
nvidia,ghz,16,2048,0.0047459289999096654,0.022129432018798165
nvidia,ghz,17,2048,0.00550321199989412,0.02215096918401124
nvidia,ghz,18,2048,0.00599770500411978,0.022129432018798165
nvidia,ghz,19,2048,0.007338497001910582,0.02216172991779339
nvidia,ghz,20,2048,0.00897893900400959,0.022107873872405804
nvidia,ghz,21,2048,0.010631962002662476,0.022086294683395784
nvidia,ghz,22,2048,0.015119113995751832,0.02209169145676488
nvidia,ghz,23,2048,0.02753669099911349,0.022094389349118684
nvidia,ghz,24,2048,0.05292374599957839,0.022095738171765716
nvidia,ghz,25,2048,0.11206411999592092,0.022096412552213365
nvidia,ghz,26,2048,0.21816935999959242,0.022096749734719045
nvidia,ghz,27,2048,0.43655326800217154,0.022096918324042453
nvidia,ghz,3,4096,0.0015739829977974296,0.25149849971983557
nvidia,ghz,4,4096,0.001525532003142871,0.1733078618163244
nvidia,ghz,5,4096,0.0016534009992028587,0.12736327600852043
nvidia,ghz,6,4096,0.0018013980006799102,0.09095606348965785
nvidia,ghz,7,4096,0.002021500993578229,0.06420480692803317
nvidia,ghz,8,4096,0.0020433120007510297,0.04636615498139553
nvidia,ghz,9,4096,0.0022400839952751994,0.03539618105359264
nvidia,ghz,10,4096,0.002555881001171656,0.026826600250834366
nvidia,ghz,11,4096,0.0029842209987691604,0.021727144005163075
nvidia,ghz,12,4096,0.0033534940012032166,0.01906173954681947
nvidia,ghz,13,4096,0.0038055000040913,0.01759168313930842
nvidia,ghz,14,4096,0.004264144998160191,0.0166087415543896
nvidia,ghz,15,4096,0.00475587399705546,0.0161834115421646
nvidia,ghz,16,4096,0.0067827899983967654,0.015829653395944655
nvidia,ghz,17,4096,0.0073111559977405705,0.015757948792094655
nvidia,ghz,18,4096,0.008077051999862306,0.01573523734797072
nvidia,ghz,19,4096,0.009878317003312986,0.01564406185898515
nvidia,ghz,20,4096,0.010256435998599045,0.015636439903912027
nvidia,ghz,21,4096,0.011695894005242735,0.01562881423171799
nvidia,ghz,22,4096,0.016877922003914136,0.015625
nvidia,ghz,23,4096,0.029222012002719566,0.015621184836959366
nvidia,ghz,24,4096,0.05497601399838459,0.01563453383455602
nvidia,ghz,25,4096,0.11430019199906383,0.015627860761062696
nvidia,ghz,26,4096,0.22082144099840662,0.015624523155565617
nvidia,ghz,27,4096,0.43940995400043903,0.015624761579601881
nvidia,ghz,3,8192,0.002399665994744282,0.24372138075442595
nvidia,ghz,4,8192,0.0026466330018593,0.17907286302760517
nvidia,ghz,5,8192,0.00280613199720392,0.12464496738023158
nvidia,ghz,6,8192,0.0029186690007918514,0.08839677661611528
nvidia,ghz,7,8192,0.003257707998272963,0.06417369960868755
nvidia,ghz,8,8192,0.003236725999158807,0.045914342843368705
nvidia,ghz,9,8192,0.003376437001861632,0.03339331515109567
nvidia,ghz,10,8192,0.0036250630000722595,0.024330913092384752
nvidia,ghz,11,8192,0.0042410589958308265,0.01921434801753027
nvidia,ghz,12,8192,0.004734598995128181,0.015771182030770714
nvidia,ghz,13,8192,0.005467962997499853,0.013469838109505588
nvidia,ghz,14,8192,0.006149913002445828,0.01234540710915091
nvidia,ghz,15,8192,0.0070018320038798265,0.011624273297966224
nvidia,ghz,16,8192,0.010752451998996548,0.011396425797835749
nvidia,ghz,17,8192,0.01141663999442244,0.01118792894276328
nvidia,ghz,18,8192,0.016729558003135026,0.011142552448480494
nvidia,ghz,19,8192,0.016601288996753283,0.011101018109755525
nvidia,ghz,20,8192,0.01648555200517876,0.011067409137346813
nvidia,ghz,21,8192,0.017770203994587064,0.011047194674559342
nvidia,ghz,22,8192,0.026428593002492562,0.011063369199582226
nvidia,ghz,23,8192,0.037591565000184346,0.011051240525152613
nvidia,ghz,24,8192,0.06261965200246777,0.011048543456039806
nvidia,ghz,25,8192,0.12183402800292242,0.011048543456039806
nvidia,ghz,26,8192,0.22694386100192787,0.011049217785037719
nvidia,ghz,27,8192,0.4451009799959138,0.011048206276106682
nvidia,ghz,3,16384,0.00507767399540171,0.2524654295833181
