target,init,n_bits,shots,sim_time_s,l2_norm
qpp-cpu,zero,20,65536,20.466826518000744,0.003907322736308269
qpp-cpu,zero,21,65536,45.63765378700191,0.0039054154458236182
qpp-cpu,zero,3,131072,0.03763276799872983,0.002463172208282312
qpp-cpu,zero,4,131072,0.03934671300521586,0.002319887999033401
qpp-cpu,zero,5,131072,0.04287439600011567,0.0030885952658877983
qpp-cpu,zero,6,131072,0.04677949399774661,0.003162142441819958
qpp-cpu,zero,7,131072,0.05057325099915033,0.0026785586206379717
qpp-cpu,zero,8,131072,0.05645742599881487,0.002706123762787529
qpp-cpu,zero,9,131072,0.06533262299490161,0.0026273047201278866
qpp-cpu,zero,10,131072,0.08048853399668587,0.002742679790855874
qpp-cpu,zero,11,131072,0.09007538200239651,0.002716750154840829
qpp-cpu,zero,12,131072,0.11234777200297685,0.0027982306098818296
qpp-cpu,zero,13,131072,0.1918460770029924,0.0027667681330483633
qpp-cpu,zero,14,131072,0.2477507810035604,0.0027541163208833
qpp-cpu,zero,15,131072,0.3919480479962658,0.002748065124212536
qpp-cpu,zero,16,131072,1.1339571439966676,0.002769543775522077
qpp-cpu,zero,17,131072,1.7714287119961227,0.002754348793725272
qpp-cpu,zero,18,131072,4.073798641002213,0.002768408621781551
qpp-cpu,zero,19,131072,10.338357363005343,0.0027604916475417016
qpp-cpu,zero,20,131072,19.449714693000715,0.0027619672714707146
qpp-cpu,zero,21,131072,47.5502953230025,0.00276146143209561
qpp-cpu,zero,3,262144,0.07038913499854971,0.0016606775334933718
qpp-cpu,zero,4,262144,0.07523621500149602,0.0016022545929901474
qpp-cpu,zero,5,262144,0.08168195399775868,0.00172354253527099
qpp-cpu,zero,6,262144,0.08763048500259174,0.0019438792975695696
qpp-cpu,zero,7,262144,0.0977935049959342,0.001963179754437418
qpp-cpu,zero,8,262144,0.10613579100026982,0.0019869117207702257
qpp-cpu,zero,9,262144,0.12476245300058508,0.00206541815544859
qpp-cpu,zero,10,262144,0.14972515200497583,0.0018650163777767783
qpp-cpu,zero,11,262144,0.1612508939942927,0.0019398401374606578
qpp-cpu,zero,12,262144,0.1856564139961847,0.001948515100891635
qpp-cpu,zero,13,262144,0.23587092499656137,0.0019384968850250002
qpp-cpu,zero,14,262144,0.3451490450024721,0.0019738321529251452
qpp-cpu,zero,15,262144,0.5234647379984381,0.001961333193123808
qpp-cpu,zero,16,262144,1.3962101490033092,0.0019526481046199208
qpp-cpu,zero,17,262144,2.760714955998992,0.0019557532865308513
qpp-cpu,zero,18,262144,4.434670015005395,0.0019571590486551034
qpp-cpu,zero,19,262144,9.297648461004428,0.001953743300321951
qpp-cpu,zero,20,262144,20.86755976999848,0.001956274056953217
qpp-cpu,zero,21,262144,47.48095619500236,0.0019518058017216156
qpp-cpu,zero,3,524288,0.13423551600135397,0.0011745365535241574
qpp-cpu,zero,4,524288,0.15155455999774858,0.0012523192723530134
qpp-cpu,zero,5,524288,0.16831603199534584,0.0012344569002894312
qpp-cpu,zero,6,524288,0.1903036610019626,0.0015814899398591041
qpp-cpu,zero,7,524288,0.18610181500116596,0.0015368685748826764
qpp-cpu,zero,8,524288,0.2136098650007625,0.0014343033443825837
qpp-cpu,zero,9,524288,0.2575657979978132,0.0013889663197350574
qpp-cpu,zero,10,524288,0.27484555200499017,0.0013746149251348304
qpp-cpu,zero,11,524288,0.33580724100465886,0.0013869402013506516
qpp-cpu,zero,12,524288,0.4196228840010008,0.0013843856454629922
qpp-cpu,zero,13,524288,0.43846597600349924,0.0013906756047620925
qpp-cpu,zero,14,524288,0.5455714459967567,0.0013883978372772237
qpp-cpu,zero,15,524288,0.88605215500138,0.0013836391304822067
qpp-cpu,zero,16,524288,1.4621506109979236,0.0013823975518669233
qpp-cpu,zero,17,524288,2.673289351994754,0.0013817921410821529
qpp-cpu,zero,18,524288,4.855990430005477,0.001379958497440024
qpp-cpu,zero,19,524288,10.562081413998385,0.0013826948957084007
qpp-cpu,zero,20,524288,20.28843953800242,0.0013806358592198646
qpp-cpu,zero,21,524288,46.1960303550004,0.0013810231502523985
