n_bits,sim_time_s,l2_pop,fro_norm,fidelity
3,0.07492545100012649,0.009878271816360966,0.21242564098819547,0.8130370370370361
4,0.05609902900050656,0.007657905710988315,0.26458011740230136,0.7588345679012336
5,0.06225767199975962,0.009130010718415602,0.31312632185690187,0.7082455967078177
6,0.06689785799972015,0.006961754576469175,0.358398219819515,0.661029223593963
7,0.15226514799996949,0.00783963260261759,0.40065362778898567,0.6169606086876984
8,0.36095407100037846,0.007989313110264639,0.44011170338567257,0.5758299014418522
