bitstring,counts
1110,1078
1100,999
1111,1029
1101,1000
1011,1031
0111,1043
0011,1001
0010,1012
0000,1029
0100,998
0001,1010
0110,1027
1000,1068
0101,1040
1001,1032
1010,987
