target,init,n_bits,shots,sim_time_s,l2_norm
qpp-cpu,ghz,14,8192,0.14818512000056216,0.01234540710915091
qpp-cpu,ghz,15,8192,0.3026100770002813,0.011760636811044457
qpp-cpu,ghz,16,8192,0.7399811040013446,0.011382033887636757
qpp-cpu,ghz,17,8192,1.7056926889999886,0.011214535232281105
qpp-cpu,ghz,18,8192,3.876725912996335,0.011149237044707461
qpp-cpu,ghz,19,8192,8.745998402002442,0.011083554162906413
qpp-cpu,ghz,20,8192,19.57838434199948,0.011076829928736001
qpp-cpu,ghz,21,8192,46.50094994200481,0.011062022225790226
qpp-cpu,ghz,3,16384,0.005554891002248041,0.2504541028000288
qpp-cpu,ghz,4,16384,0.005871089000720531,0.179818333802642
qpp-cpu,ghz,5,16384,0.0065085090027423576,0.12701675581032745
qpp-cpu,ghz,6,16384,0.007649934996152297,0.08752445662536011
qpp-cpu,ghz,7,16384,0.007590264001919422,0.0635244922149252
qpp-cpu,ghz,8,16384,0.009204449997923803,0.04447507494019
qpp-cpu,ghz,9,16384,0.010866747004911304,0.0321763543395976
qpp-cpu,ghz,10,16384,0.01854292299685767,0.023604749932171525
qpp-cpu,ghz,11,16384,0.031239767995430157,0.017296549172851776
qpp-cpu,ghz,12,16384,0.03342976700514555,0.013659335244006808
qpp-cpu,ghz,13,16384,0.18528780599444872,0.010956788085850417
qpp-cpu,ghz,14,16384,1.3253715600003488,0.009611826018080824
qpp-cpu,ghz,15,16384,0.32557203200121876,0.008796265088039011
qpp-cpu,ghz,16,16384,0.7905131470033666,0.008327664990630146
qpp-cpu,ghz,17,16384,1.7614381449966459,0.008068653744951533
qpp-cpu,ghz,18,16384,3.8616390519964625,0.007934100797406687
qpp-cpu,ghz,19,16384,8.634867792003206,0.007870459140534605
qpp-cpu,ghz,20,16384,20.11852397199982,0.007840582918713283
qpp-cpu,ghz,21,16384,46.97898882700247,0.007826316061041158
qpp-cpu,ghz,3,32768,0.010603265996905975,0.251632316153733
qpp-cpu,ghz,4,32768,0.011642967001534998,0.17696212846701218
qpp-cpu,ghz,5,32768,0.012884078998467885,0.1256142218079734
qpp-cpu,ghz,6,32768,0.013659926000400446,0.0892200277307145
qpp-cpu,ghz,7,32768,0.015783451999595854,0.06252464166292221
qpp-cpu,ghz,8,32768,0.015894347001449205,0.04470101255581072
qpp-cpu,ghz,9,32768,0.018513864000851754,0.03166366021206416
qpp-cpu,ghz,10,32768,0.022890808002557606,0.022755802059191442
qpp-cpu,ghz,11,32768,0.03640082800120581,0.01646371722185601
qpp-cpu,ghz,12,32768,0.055979646000196226,0.01238028599810068
qpp-cpu,ghz,13,32768,0.07987846300238743,0.009611438436636763
qpp-cpu,ghz,14,32768,0.14838661799876718,0.00784307695062036
qpp-cpu,ghz,15,32768,0.35153941399767064,0.0067897325016134605
qpp-cpu,ghz,16,32768,0.7869166789969313,0.006175569563247089
qpp-cpu,ghz,17,32768,1.7222731029978604,0.005846326922811285
qpp-cpu,ghz,18,32768,4.011328689004586,0.005695106670077274
qpp-cpu,ghz,19,32768,8.615301555997576,0.005610090470443011
qpp-cpu,ghz,20,32768,19.249997987004463,0.005565924372645506
qpp-cpu,ghz,21,32768,46.05475195400504,0.005549334397225978
qpp-cpu,ghz,3,65536,0.020096517000638414,0.24930971744050356
qpp-cpu,ghz,4,65536,0.020854994996625464,0.1778636373245267
qpp-cpu,ghz,5,65536,0.023083446998498403,0.12596057820010104
qpp-cpu,ghz,6,65536,0.024046266000368632,0.0879991311931597
qpp-cpu,ghz,7,65536,0.02628992400423158,0.06271794065291582
qpp-cpu,ghz,8,65536,0.02962407599989092,0.044223787868278894
qpp-cpu,ghz,9,65536,0.033775921001506504,0.03150401588983726
qpp-cpu,ghz,10,65536,0.03811031600343995,0.022483948654496093
qpp-cpu,ghz,11,65536,0.04894292900280561,0.01607245272162339
qpp-cpu,ghz,12,65536,0.0704569840017939,0.01166839509816576
qpp-cpu,ghz,13,65536,0.10338775200216332,0.008642268848812227
qpp-cpu,ghz,14,65536,0.17270083100447664,0.00675948855392443
qpp-cpu,ghz,15,65536,0.33483529400109546,0.005511444193100248
qpp-cpu,ghz,16,65536,0.8458067110041156,0.004780703048961643
qpp-cpu,ghz,17,65536,1.8216298010011087,0.004359850197873995
qpp-cpu,ghz,18,65536,3.8981756270004553,0.004149044042811851
qpp-cpu,ghz,19,65536,9.225929749998613,0.004020278301456794
qpp-cpu,ghz,20,65536,19.524110078004014,0.003967871989350799
qpp-cpu,ghz,21,65536,46.57113537200348,0.003936412706570836
qpp-cpu,ghz,3,131072,0.036063644001842476,0.2505378871545817
qpp-cpu,ghz,4,131072,0.038410327993915416,0.17715963081979816
qpp-cpu,ghz,5,131072,0.0414782359948731,0.12475271323654527
qpp-cpu,ghz,6,131072,0.04511395299778087,0.08894087348657628
qpp-cpu,ghz,7,131072,0.04839664400060428,0.06247782406929091
qpp-cpu,ghz,8,131072,0.0555738340044627,0.04423937954076138
qpp-cpu,ghz,9,131072,0.06244440899899928,0.031377333633699135
qpp-cpu,ghz,10,131072,0.07195280300220475,0.02230641608462973
qpp-cpu,ghz,11,131072,0.09097548200224992,0.015869492746994805
qpp-cpu,ghz,12,131072,0.10991300900059287,0.011424956536484251
qpp-cpu,ghz,13,131072,0.1448273439964396,0.008268327943957772
qpp-cpu,ghz,14,131072,0.23530376399867237,0.006206183023273834
qpp-cpu,ghz,15,131072,0.3995585770026082,0.004784767952559596
qpp-cpu,ghz,16,131072,0.9342870819964446,0.0038924121132231657
qpp-cpu,ghz,17,131072,1.8990206829985254,0.0033873652541803307
qpp-cpu,ghz,18,131072,4.283550739004568,0.0030872192014774645
qpp-cpu,ghz,19,131072,8.893023493001238,0.002933837018294997
qpp-cpu,ghz,20,131072,20.690441703001852,0.0028457130243447317
qpp-cpu,ghz,21,131072,47.91546904500137,0.002806144825859082
qpp-cpu,ghz,3,262144,0.0683673399980762,0.2501634429865141
qpp-cpu,ghz,4,262144,0.07482997899933252,0.17715258658856411
qpp-cpu,ghz,5,262144,0.08096276500145905,0.12497881224555825
qpp-cpu,ghz,6,262144,0.08852214099897537,0.0883526010447945
qpp-cpu,ghz,7,262144,0.09921850499813445,0.06252571690731373
qpp-cpu,ghz,8,262144,0.10487970500253141,0.04414038838738769
qpp-cpu,ghz,9,262144,0.11992921600176487,0.03126696921231699
qpp-cpu,ghz,10,262144,0.14672475100087468,0.02226678234572531
qpp-cpu,ghz,11,262144,0.16867828899557935,0.0157500983069702
qpp-cpu,ghz,12,262144,0.19109866800135933,0.011181421048702875
qpp-cpu,ghz,13,262144,0.2592397189946496,0.00804865867963557
qpp-cpu,ghz,14,262144,0.33607727700291434,0.005860909618638327
qpp-cpu,ghz,15,262144,0.5806066169971018,0.004380285830332867
qpp-cpu,ghz,16,262144,1.0659813809979823,0.0033684316870571727
qpp-cpu,ghz,17,262144,2.139517989002343,0.002759210377145337
qpp-cpu,ghz,18,262144,4.510176188996411,0.0023927306593714993
qpp-cpu,ghz,19,262144,9.943274258999736,0.002181513270329608
qpp-cpu,ghz,20,262144,21.586120138003025,0.002069992668260816
qpp-cpu,ghz,21,262144,50.37153147200297,0.0020135820888626532
qpp-cpu,ghz,3,524288,0.13517552399571287,0.24948712178592303
qpp-cpu,ghz,4,524288,0.14495463600178482,0.17682228096978928
qpp-cpu,ghz,5,524288,0.16262683200329775,0.12507374030705037
qpp-cpu,ghz,6,524288,0.17480536799848778,0.08840758505611974
qpp-cpu,ghz,7,524288,0.18969694199768128,0.06256201458373639
qpp-cpu,ghz,8,524288,0.2094088770027156,0.04414123456866895
qpp-cpu,ghz,9,524288,0.24134735600091517,0.03129385384764855
qpp-cpu,ghz,10,524288,0.270896633999655,0.022161585295970156
qpp-cpu,ghz,11,524288,0.3219911449996289,0.015663091461558948
qpp-cpu,ghz,12,524288,0.3852054240051075,0.01113533393535865
qpp-cpu,ghz,13,524288,0.4357589859937434,0.007951473607811033
qpp-cpu,ghz,14,524288,0.5612933949960279,0.005697073165850402
qpp-cpu,ghz,15,524288,0.8272818289988209,0.004146259193992517
qpp-cpu,ghz,16,524288,1.4712103880010545,0.0030904051293184067
qpp-cpu,ghz,17,524288,2.493931035998685,0.0023862997220244694
qpp-cpu,ghz,18,524288,5.262126227004046,0.001953990938033131
qpp-cpu,ghz,19,524288,10.42816460699396,0.0016911009479662678
qpp-cpu,ghz,20,524288,22.56583947299805,0.0015422585632052302
qpp-cpu,ghz,21,524288,52.150855623003736,0.0014642475822369174
