target,init,shots,n_bits,sim_time_s,l2_error
cudaq-gpu,zero,524288,11,0.1432113969931379,0.0014024058880427
cudaq-gpu,zero,524288,12,0.1468851270037703,0.0013723317080574
cudaq-gpu,zero,524288,13,0.1471019599994179,0.0013756308226145
cudaq-gpu,zero,524288,14,0.1555924550048075,0.0013858800941085
cudaq-gpu,zero,524288,15,0.1621219540029415,0.0013779217740419
cudaq-gpu,zero,524288,16,0.3291113590021268,0.0013895607506463
cudaq-gpu,zero,524288,17,0.4065620289984508,0.0013827738258104
cudaq-gpu,zero,524288,18,0.6026174040016485,0.0013771796801032
cudaq-gpu,zero,524288,19,0.6703511820014683,0.0013812470444964
cudaq-gpu,zero,524288,20,0.8903235819961992,0.0013812970864824
cudaq-gpu,zero,524288,21,0.952071084000636,0.0013818000394518
cudaq-gpu,zero,524288,22,0.967980648005323,0.0013811206145607
cudaq-gpu,zero,524288,23,1.0504977259988664,0.0013811100782103
cudaq-gpu,zero,524288,24,1.1237133309987255,0.0013809362168224
cudaq-gpu,zero,524288,25,1.162209235000773,0.0013810573952526
cudaq-gpu,zero,524288,26,1.271010288997786,0.0013811574911542
cudaq-gpu,zero,524288,27,1.4602310789996409,0.0013810916394037
cudaq-gpu,zero,524288,28,1.9085791089964916,0.0013810442241992
qiskit-cpu,zero,1024,3,0.0031314829975599,0.0193842121496867
qiskit-cpu,zero,1024,4,0.0281312090082792,0.0288375450395183
qiskit-cpu,zero,1024,5,0.0356256950035458,0.0338572965299994
qiskit-cpu,zero,1024,6,0.0122905140015063,0.0288044554760793
qiskit-cpu,zero,1024,7,0.0040865159971872,0.0336878677942584
qiskit-cpu,zero,1024,8,0.0045420829992508,0.0311583127608277
qiskit-cpu,zero,1024,9,0.0205580460024066,0.0297811536757361
qiskit-cpu,zero,1024,10,0.0064539260056335,0.0311583127608277
qiskit-cpu,zero,1024,11,0.0098862570011988,0.0303206537036328
qiskit-cpu,zero,1024,12,0.0116554070118581,0.0318545047466798
qiskit-cpu,zero,1024,13,0.0162137029983568,0.0310663549230212
qiskit-cpu,zero,1024,14,0.0174540689913555,0.0314022171695576
qiskit-cpu,zero,1024,15,0.0137693650030996,0.0310048981765381
qiskit-cpu,zero,1024,16,0.047231713993824,0.0312805026914979
qiskit-cpu,zero,1024,17,0.0355704290122957,0.0311889051224049
qiskit-cpu,zero,1024,18,0.0476558980008121,0.0311889051224049
qiskit-cpu,zero,1024,19,0.2986284119979245,0.0312805026914979
qiskit-cpu,zero,1024,20,0.1959318120061652,0.03126525506559
qiskit-cpu,zero,1024,21,0.2993437969998922,0.0313033602047355
qiskit-cpu,zero,1024,22,0.9173308790050214,0.031276691481896
qiskit-cpu,zero,1024,23,2.234731061005732,0.0312480925931559
qiskit-cpu,zero,1024,24,4.722545990007347,0.0312490463111312
qiskit-cpu,zero,1024,25,8.793514154996956,0.0312495231592037
qiskit-cpu,zero,1024,26,18.587446118996013,0.0312497615805113
qiskit-cpu,zero,1024,27,32.77360289100034,0.031249880790483
qiskit-cpu,zero,2048,3,0.0017978279938688,0.0329725449533869
qiskit-cpu,zero,2048,4,0.001879318995634,0.0221939808151631
qiskit-cpu,zero,2048,5,0.00231996900402,0.019273197613272
qiskit-cpu,zero,2048,6,0.0030305510008474,0.0224609375
qiskit-cpu,zero,2048,7,0.0072528270102338,0.0226195992615243
qiskit-cpu,zero,2048,8,0.0056934159947559,0.0247823780086904
qiskit-cpu,zero,2048,9,0.0089357980032218,0.0219346459425939
