n_bits,shots,sim_time_s,throughput,l2_error,backend,init,method
8,2048,0.005693415994755924,359713.7468764563,0.02478237800869047,CPU,zero,statevector
9,2048,0.008935798003221862,229190.4986282792,0.021934645942593946,CPU,zero,statevector
10,2048,0.00802235200535506,255286.7287091023,0.023212625632821705,CPU,zero,statevector
11,2048,0.04883947200141847,41933.295264545835,0.021803821837662215,CPU,zero,statevector
12,2048,0.010336132007068954,198139.8843009511,0.022032254243512652,CPU,zero,statevector
13,2048,0.013701788993785158,149469.5328419471,0.02178194142890182,CPU,zero,statevector
14,2048,0.01857348400517367,110264.71928635074,0.022010600917157508,CPU,zero,statevector
15,2048,0.027462411002488807,74574.66133670486,0.02215096918401124,CPU,zero,statevector
16,2048,0.023173804001999088,88375.65036035211,0.022118655572082275,CPU,zero,statevector
17,2048,0.2248373820038978,9108.805580935361,0.022140203220223895,CPU,zero,statevector
18,2048,0.051360291996388696,39875.16270631797,0.022140203220223895,CPU,zero,statevector
19,2048,0.07604452600935474,26931.59004959886,0.02209708691207961,CPU,zero,statevector
20,2048,0.14887206700223032,13756.77816019924,0.022086294683395784,CPU,zero,statevector
21,2048,0.28384171100333333,7215.28908757159,0.022118655572082275,CPU,zero,statevector
22,2048,0.7862036520091351,2604.9230307775315,0.02209169145676488,CPU,zero,statevector
23,2048,2.336099927997566,876.6748269006983,0.022105177625810934,CPU,zero,statevector
24,2048,4.842851391993463,422.8913576381665,0.022095738171765716,CPU,zero,statevector
25,2048,8.42886572300631,242.97456707728202,0.022096412552213365,CPU,zero,statevector
26,2048,17.467916847002925,117.24351666760926,0.022096749734719045,CPU,zero,statevector
27,2048,32.584373527002754,62.852213448351776,0.022096918324042453,CPU,zero,statevector
3,4096,0.0021359109960030764,1917682.90329739,0.00834375365753665,CPU,zero,statevector
4,4096,0.0025887889933073893,1582206.9742219606,0.013331955997535202,CPU,zero,statevector
5,4096,0.0033643049973761663,1217487.7138649693,0.02113191895349844,CPU,zero,statevector
6,4096,0.005603162993793376,731015.6789187,0.015386671149012432,CPU,zero,statevector
7,4096,0.005488488997798413,746289.1884529641,0.015270015401476454,CPU,zero,statevector
8,4096,0.009393385000294074,436051.540511942,0.014562737589850331,CPU,zero,statevector
9,4096,0.00994017299672123,412065.26298396086,0.015720078156255125,CPU,zero,statevector
10,4096,0.012482819991419092,328130.9834489051,0.01556001500891425,CPU,zero,statevector
11,4096,0.03077913601009641,133077.15975706396,0.0159683646736014,CPU,zero,statevector
12,4096,0.017904619002365507,228767.78329987632,0.015655487833868553,CPU,zero,statevector
13,4096,0.016768361994763836,244269.53576497425,0.01565168010236778,CPU,zero,statevector
14,4096,0.02633030001015868,155562.2229302246,0.015544684941144147,CPU,zero,statevector
15,4096,0.025184795988025144,162637.80742744808,0.015693514335925973,CPU,zero,statevector
16,4096,0.024918295996030793,164377.21105217014,0.015563845166512918,CPU,zero,statevector
17,4096,0.07058147300267592,58032.22610336725,0.015617368741913551,CPU,zero,statevector
18,4096,0.1312697490066057,31202.923986651964,0.01562881423171799,CPU,zero,statevector
19,4096,0.13523265700496268,30288.541915209786,0.01562881423171799,CPU,zero,statevector
20,4096,0.14538930500566494,28172.636218602212,0.015621184836959366,CPU,zero,statevector
21,4096,0.42346198100131005,9672.65110864186,0.015617368741913551,CPU,zero,statevector
22,4096,1.056166006004787,3878.178218871243,0.015621184836959366,CPU,zero,statevector
23,4096,2.675339849010925,1531.0204426978853,0.015621184836959366,CPU,zero,statevector
24,4096,4.560654692992102,898.1166687085321,0.015623092534937653,CPU,zero,statevector
25,4096,9.505271348010865,430.9187870641016,0.015627860761062696,CPU,zero,statevector
26,4096,14.873003136002808,275.39831482216846,0.015624523155565617,CPU,zero,statevector
27,4096,32.0293285860098,127.88279307825098,0.015624761579601881,CPU,zero,statevector
3,8192,0.004467592996661551,1833649.5750892137,0.012701179909149965,CPU,zero,statevector
4,8192,0.0053257580002537,1538184.7991609387,0.012714078678019079,CPU,zero,statevector
5,8192,0.0202821179991588,403902.5904661319,0.009447642856879565,CPU,zero,statevector
6,8192,0.008679909005877562,943788.6957631495,0.011195917468552833,CPU,zero,statevector
7,8192,0.010331808007322252,792891.2339635281,0.010067656054939093,CPU,zero,statevector
8,8192,0.014972303004469723,547143.6156184135,0.011203900298421646,CPU,zero,statevector
9,8192,0.020096287989872508,407637.4703690724,0.010826473754219593,CPU,zero,statevector
10,8192,0.015787010997883044,518907.6007547283,0.010630635281775996,CPU,zero,statevector
11,8192,0.03258409099362325,251411.033734321,0.011388577919619728,CPU,zero,statevector
12,8192,0.028961593998246826,282857.3593185478,0.011016127121756326,CPU,zero,statevector
13,8192,0.03790879998996388,216097.58162138556,0.011111751511450465,CPU,zero,statevector
14,8192,0.03779307700460777,216759.27575310218,0.01104584572838244,CPU,zero,statevector
15,8192,0.029549595012213103,277228.8417697155,0.011040448295502943,CPU,zero,statevector
16,8192,0.03409717899921816,240254.4797089472,0.011051240525152613,CPU,zero,statevector
17,8192,0.07264225000108127,112771.83732439543,0.011072793428172429,CPU,zero,statevector
18,8192,0.07147615299618337,114611.65237079044,0.011041797901069442,CPU,zero,statevector
19,8192,0.1232702569977846,66455.60899696368,0.01104584572838244,CPU,zero,statevector
20,8192,0.33093367000401486,24754.205275941295,0.011048543456039806,CPU,zero,statevector
21,8192,0.4391962230001809,18652.25512195861,0.011047194674559342,CPU,zero,statevector
22,8192,1.5258376850106288,5368.854158260572,0.011047194674559342,CPU,zero,statevector
23,8192,2.414508500005468,3392.823011383662,0.011044496617448751,CPU,zero,statevector
24,8192,3.919610280994675,2090.0037025928827,0.01104584572838244,CPU,zero,statevector
25,8192,9.119105175006553,898.333755646602,0.011047194674559342,CPU,zero,statevector
26,8192,14.635088282011566,559.750637792123,0.011050566319586591,CPU,zero,statevector
27,8192,31.005098184003145,264.2146124286942,0.011048206276106682,CPU,zero,statevector
3,16384,0.042158839001785964,388625.50269247044,0.007425748918313442,CPU,zero,statevector
4,16384,0.014784096012590453,1108217.9110611184,0.009966874690633239,CPU,zero,statevector
5,16384,0.010031591009465046,1633240.4286160893,0.007403642444875941,CPU,zero,statevector
6,16384,0.011644170997897163,1407055.9426651162,0.006954794693966853,CPU,zero,statevector
7,16384,0.03716904600150883,440796.8931818942,0.008378061816650639,CPU,zero,statevector
8,16384,0.02525508300459478,648740.691013337,0.007912472986111923,CPU,zero,statevector
9,16384,0.03100883201113902,528365.5957797612,0.008036269819644917,CPU,zero,statevector
10,16384,0.047916695999447256,341926.74720704864,0.007883228574571566,CPU,zero,statevector
11,16384,0.04859489400405437,337154.7635978597,0.007773780240118006,CPU,zero,statevector
12,16384,0.05756212399865035,284631.6095004443,0.0077852728376066145,CPU,zero,statevector
